SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
936512,91LTFL22    ,F ,D,1020.00,1026.00,1020.00,1026.00,1026.00,1021.00,2,200,204600.00,
936520,925LTFL24   ,F ,D,1053.04,1053.04,1053.04,1053.04,1053.04,1053.04,1,5,5265.00,
936524,889LTFL24   ,F ,D,1020.40,1020.40,1020.40,1020.40,1020.40,1020.40,3,125,127550.00,
936528,935LTFL29   ,F ,D,1053.00,1053.00,1053.00,1053.00,1053.00,1046.00,1,20,21060.00,
936538,975MFL24A   ,F ,D,1000.00,1000.00,1000.00,1000.00,1000.00,1000.33,3,200,200000.00,
936554,89LTFL22    ,F ,D,1015.00,1015.00,1015.00,1015.00,1015.00,1016.00,1,37,37555.00,
936578,87LTFL27    ,F ,D,1015.00,1015.00,1013.00,1013.00,1013.00,1012.00,3,89,90161.00,
936604,935SCUF24   ,F ,D,995.00,995.00,995.00,995.00,995.00,997.00,1,5,4975.00,
936642,975MHIL24   ,F ,D,989.99,990.00,989.99,990.00,990.00,989.99,4,382,378178.00,
936646,975MHIL22   ,F ,D,1000.00,1000.00,1000.00,1000.00,1000.00,0.00,1,10,10000.00,
936700,1020JMFPL22 ,F ,D,959.00,982.00,950.00,974.00,974.00,960.08,10,181,173750.00,
936704,1004JMFPL24 ,F ,D,992.35,992.35,990.00,990.00,990.00,997.00,3,3,2973.00,
936706,1050JMFPL24 ,F ,D,994.99,995.40,994.99,995.40,995.40,996.00,12,127,126395.00,
936708,99EFL21     ,F ,D,981.00,981.00,981.00,981.00,981.00,990.00,1,10,9810.00,
936710,0EFL21A     ,F ,D,970.10,970.10,970.10,970.10,970.10,970.00,1,10,9701.00,
936712,102EFL22    ,F ,D,962.00,962.00,961.00,961.00,961.00,962.01,4,280,269210.00,
936716,995EFL24A   ,F ,D,970.00,985.00,970.00,978.14,976.55,982.00,152,1804,1768975.00,
936718,104EFL24    ,F ,D,990.00,990.00,989.99,989.99,989.99,993.96,2,10,9899.00,
936720,0EFL24      ,F ,D,997.99,998.00,997.99,998.00,998.00,980.00,3,20,19959.00,
936722,995EFL29    ,F ,D,992.00,992.00,982.25,982.25,982.25,985.00,3,1020,1011645.00,
947637,TPCL02JUN11 ,F ,D,1055555.00,1055555.00,1055555.00,1055555.00,1055555.00,1033333.00,1,1,1055555.00,
950493,843PFC22    ,F ,D,4875.15,4875.15,4875.15,4875.15,4875.15,5000.00,1,4,19500.00,
958644,RFL15MAR23  ,F ,D,100000.00,100000.00,100000.00,100000.00,100000.00,102000.00,1,10,1000000.00,
958670,1175SIBL29  ,F ,D,104167.81,104318.00,104167.81,104167.81,104167.81,103421.00,10,160,16668351.00,
958674,855HDFC29   ,F ,D,1048600.00,1048600.00,1048600.00,1048600.00,1048600.00,1037100.00,1,2,2097200.00,
958776,1060SHFL22  ,F ,D,101113.11,101113.11,101113.11,101113.11,101113.11,0.00,1,20,2022262.00,
961694,IDFCFBLD1A  ,F ,B,5001.00,5001.00,5001.00,5001.00,5001.00,5000.00,1,4,20004.00,
961703,SBIBIVR     ,F ,B,11150.00,11150.00,11062.00,11089.39,11075.25,11074.00,9,21,233133.00,
961704,SBIBIVNR    ,F ,B,10949.75,10949.75,10949.75,10949.75,10949.75,10800.00,1,5,54748.00,
961705,IIFCLBDIS1  ,F ,B,930.00,950.01,930.00,940.01,950.01,925.09,2,40,37600.00,
961710,IDFCFBLD1H  ,F ,B,9120.50,9120.50,9120.50,9120.50,9120.50,9130.00,1,5,45602.00,
961711,PFCBS1      ,F ,B,4895.00,4999.00,4895.00,4999.00,4999.00,4895.00,2,7,34577.00,
961712,PFCBS2      ,F ,B,9300.05,9396.00,9300.05,9306.00,9306.00,9300.00,11,34,317196.00,
961716,PFCBT1S2    ,F ,B,8825.00,8825.00,8823.01,8823.01,8823.01,8850.05,2,8,70592.00,
961718,PFCBT1S4    ,F ,B,9000.00,9000.00,8720.50,8720.50,8720.50,8991.80,2,8,70882.00,
961720,IDFCFBLD1J  ,F ,B,9100.00,9100.00,9100.00,9100.00,9100.00,9010.01,1,4,36400.00,
